+201649195501,+2979661850,1,47,22:34:43,0
+201649195501,+201604912015,1,89,13:55:35,0
+201649195501,+201622334408,1,159,14:56:36,0
+201649195501,+201645454532,1,135,19:58:58,0
+201649195501,+201645454532,2,3,18:42:22,0
+201649195501,+201620491910,2,2,11:45:04,0
+201649195501,+201604912015,2,3,16:13:43,0
+201649195501,+201649191518,1,27,19:19:59,0
+201649195501,+201654324321,1,29,13:47:35,0
+201649195501,+201645454532,1,152,19:25:19,0
+201649195501,+201622334408,2,1,12:10:36,0
+201649195501,+201654324321,2,1,14:24:26,0
+201649195501,+9286489960,1,3,21:37:51,0
+201649195501,+201649177767,1,172,16:31:00,0
+201649195501,+201622334408,1,98,13:45:02,0
+201649195501,+201687654325,1,131,08:42:12,0
+201649195501,+201645454532,2,3,20:25:22,0
+201649195501,+201656789028,1,25,14:50:39,0
+201649195501,+201656789028,2,3,11:16:47,0
+201649195501,+201667809035,1,151,18:35:17,0
+201649195501,+201656789028,1,143,09:16:39,0
+201649195501,+201612789009,2,2,22:35:37,0
+201649195501,+201611223320,2,3,11:27:14,0
+201649195501,+201612121212,1,121,13:48:07,0
+201649195501,+201649177767,1,80,13:07:24,0
+201649195501,+201667809035,1,28,12:48:23,0
+201649195501,+201622334408,2,1,09:34:28,0
+201649195501,+201611111113,1,148,12:51:06,0
+201649195501,+201667809035,1,177,22:21:17,0
+201649195501,+201622334408,1,131,14:48:00,0
+201649195501,+201687654325,1,93,14:25:02,0
+201649195501,+201611111113,2,1,22:49:00,0
+201649195501,+201687654325,1,113,10:35:31,0
+201649195501,+201604919109,1,65,09:37:45,0
+201649195501,+201654324321,1,65,08:25:47,0
+201649195501,+201604912015,1,42,16:56:09,0
+201649195501,+201664565811,2,1,13:20:22,0
+201649195501,+201612121212,1,141,10:56:02,0
+201649195501,+201645454532,2,1,18:42:12,0
+201649195501,+201612121212,2,2,12:06:15,0
+201649195501,+201664565811,1,64,15:04:10,0
+201649195501,+5809408011,1,0,22:47:21,0
+201649195501,+201649177767,2,3,14:49:52,0
+201649195501,+201612789009,2,2,12:51:56,0
+201649195501,+201654324321,1,157,01:45:41,0
+201649195501,+201667809035,1,48,08:07:17,0
+201649195501,+201611223320,2,3,15:37:50,0
+201649195501,+201649191518,1,58,14:17:57,0
+201649195501,+201622334408,2,2,14:03:29,0
+201649195501,+201612789009,1,160,16:56:59,0
+201649195501,+201667809035,2,2,22:11:03,0
+201649195501,+201649191518,1,117,17:33:05,0
+201649195501,+201695959930,1,65,21:51:48,0
+201649195501,+201604912015,1,96,12:32:23,0
+201649195501,+201612789009,1,149,09:03:08,0
+201649195501,+201687654325,1,20,17:30:38,0
+201649195501,+201622334408,2,1,14:08:05,0
+201649195501,+201604919109,1,162,03:48:18,0
+201649195501,+201645454532,2,3,12:02:09,0
+201649195501,+201612789009,1,54,18:43:19,0
+201649195501,+201645378903,1,177,18:44:19,0
+201649195501,+201695959930,1,35,18:58:50,0
+201649195501,+201667809035,1,105,19:47:04,0
+201649195501,+1469609948,1,0,20:40:02,0
+201649195501,+201656789028,2,3,13:07:44,0
+201649195501,+4094525849,1,0,17:31:59,0
+201649195501,+201612121212,1,87,14:54:45,0
+201649195501,+201645454532,1,103,09:52:27,0
+201649195501,+201667809035,2,1,14:47:21,0
+201649195501,+3329844283,1,0,13:52:38,0
+201649195501,+201649191518,2,2,10:13:48,0
+201649195501,+201645454532,1,51,14:43:52,0
+201649195501,+201604912015,1,138,21:34:18,0
+201649195501,+201612121212,2,3,14:23:26,0
+201649195501,+201664565811,1,153,08:13:01,0
+201649195501,+201649154514,1,59,12:45:02,0
